K	ValidationError	Train Error	Test Error
171	0.31338028169014087	0.13732394366197184	0.2112676056338028
173	0.31338028169014087	0.13732394366197184	0.2147887323943662
175	0.31338028169014087	0.1443661971830986	0.21830985915492956
177	0.31690140845070425	0.1443661971830986	0.22183098591549297
179	0.3204225352112676	0.1619718309859155	0.22183098591549297
181	0.3274647887323944	0.176056338028169	0.23591549295774647
183	0.33098591549295775	0.19014084507042253	0.24647887323943662
185	0.33098591549295775	0.19014084507042253	0.2535211267605634
187	0.33098591549295775	0.22887323943661972	0.28169014084507044
189	0.3345070422535211	0.22887323943661972	0.2852112676056338
191	0.3380281690140845	0.23591549295774647	0.30633802816901406
193	0.3415492957746479	0.23591549295774647	0.30633802816901406
195	0.3485915492957746	0.2605633802816901	0.30985915492957744
197	0.352112676056338	0.2746478873239437	0.31338028169014087
199	0.35563380281690143	0.29225352112676056	0.323943661971831
201	0.35563380281690143	0.35563380281690143	0.3908450704225352
203	0.35563380281690143	0.35563380281690143	0.3908450704225352
205	0.35563380281690143	0.35563380281690143	0.3908450704225352
